GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DigitalCollections: Blueprints 2 (Frontend IMPL Webapp),de.digitalcollections.blueprints.crud.frontend.webapp.exceptions,ResourceNotFoundException,3,0,0,0,1,0,1,0,1,0
DigitalCollections: Blueprints 2 (Frontend IMPL Webapp),de.digitalcollections.blueprints.crud.frontend.webapp.controller,GlobalExceptionController,65,15,3,1,12,5,4,3,2,3
DigitalCollections: Blueprints 2 (Frontend IMPL Webapp),de.digitalcollections.blueprints.crud.frontend.webapp.controller,MainController,23,3,0,0,5,1,2,1,2,1
DigitalCollections: Blueprints 2 (Frontend IMPL Webapp),de.digitalcollections.blueprints.crud.frontend.webapp.controller,UserController,236,7,8,0,50,3,15,2,11,2
DigitalCollections: Blueprints 2 (Frontend IMPL Webapp),de.digitalcollections.blueprints.crud.frontend.webapp.controller,ApiController,0,11,0,0,0,3,0,3,0,3
DigitalCollections: Blueprints 2 (Frontend IMPL Webapp),de.digitalcollections.blueprints.crud.frontend.webapp.controller,SetupController,50,7,4,0,14,3,6,2,4,2
DigitalCollections: Blueprints 2 (Frontend IMPL Webapp),de.digitalcollections.blueprints.crud.frontend.webapp.controller,AbstractController,20,3,2,0,5,1,2,1,1,1
DigitalCollections: Blueprints 2 (Frontend IMPL Webapp),de.digitalcollections.blueprints.crud.frontend.webapp.interceptors,CreateAdminUserInterceptor,50,11,6,0,14,4,5,3,2,3
DigitalCollections: Blueprints 2 (Frontend IMPL Webapp),de.digitalcollections.blueprints.crud.frontend.webapp.aop,AopMethodLogger,110,138,20,4,24,40,14,6,2,6
DigitalCollections: Blueprints 2 (Frontend IMPL Webapp),de.digitalcollections.blueprints.crud.frontend.webapp.filter,LogSessionIdFilter,30,0,4,0,12,0,6,0,4,0
DigitalCollections: Blueprints 2 (Frontend IMPL Webapp),de.digitalcollections.blueprints.crud.frontend.webapp.listener,SessionListener,44,0,0,0,9,0,4,0,4,0
DigitalCollections: Blueprints 2 (Frontend IMPL Webapp),de.digitalcollections.blueprints.crud.frontend.webapp.propertyeditor,RoleEditor,11,3,0,0,3,1,1,1,1,1
DigitalCollections: Blueprints 2 (Frontend IMPL Webapp),de.digitalcollections.blueprints.crud.frontend.webapp.converter,GrantedAuthorityJsonFilter,3,0,0,0,1,0,1,0,1,0
DigitalCollections: Blueprints 2 (Frontend IMPL Webapp),de.digitalcollections.blueprints.crud.frontend.webapp.converter,UserJsonFilter,3,0,0,0,1,0,1,0,1,0
